epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.023,2.75769,4.56982,2.29618,0.00216,0.44745,0.06718,0.02761,2.31359,4.65336,2.1246,0.00020004,0.00020004,0.00020004
2,259.01,2.1928,3.64657,1.83744,0.00285,0.55928,0.13397,0.04543,2.21314,4.45261,1.94765,0.000396121,0.000396121,0.000396121
3,378.859,2.11242,3.22733,1.76619,0.23951,0.12677,0.10864,0.03686,2.23035,4.38665,1.9816,0.000570747,0.000570747,0.000570747
4,496.437,2.0611,3.13864,1.69315,0.58928,0.01603,0.10269,0.03164,2.21877,4.25689,1.92658,0.00072392,0.00072392,0.00072392
5,644.286,2.10266,3.20579,1.7641,0.70846,0.01124,0.06648,0.01833,2.48883,4.40887,2.09309,0.000855638,0.000855638,0.000855638
6,783.226,2.05735,2.82689,1.72999,0.13961,0.1288,0.06656,0.01613,2.29933,4.05955,1.99601,0.000965901,0.000965901,0.000965901
7,937.958,2.10453,2.92754,1.75578,0.08535,0.21887,0.06336,0.01827,2.46604,4.19496,2.21696,0.00105471,0.00105471,0.00105471
8,1068.13,2.08486,2.854,1.73359,0.1779,0.33696,0.15216,0.04988,2.22521,3.52521,1.87315,0.00108938,0.00108938,0.00108938
9,1183.98,2.04357,2.77702,1.74624,0.02579,0.41825,0.01794,0.00663,2.26487,35.0732,1.87124,0.00100687,0.00100687,0.00100687
10,1299.73,1.95437,2.74414,1.69842,0.02322,0.3781,0.01608,0.00529,2.43,6.31148,2.06104,0.000924352,0.000924352,0.000924352
11,1414.49,1.96826,2.8621,1.7164,0.04799,0.26574,0.03013,0.01093,2.30604,5.88395,1.99457,0.000841835,0.000841835,0.000841835
12,1526.72,1.89741,2.84287,1.67415,0.20683,0.38591,0.16624,0.05708,2.09284,3.35329,1.91362,0.000759318,0.000759318,0.000759318
13,1653.04,1.85278,2.69302,1.63779,0.29806,0.48749,0.25799,0.09643,2.02286,3.31287,1.80771,0.000676802,0.000676802,0.000676802
14,1780.12,1.92709,2.69886,1.65384,0.26791,0.41527,0.26072,0.08513,2.02879,2.87864,1.78872,0.000594286,0.000594286,0.000594286
15,1893.63,1.80433,2.50287,1.57264,0.34594,0.4853,0.34322,0.12251,2.02102,2.63645,1.7621,0.000511769,0.000511769,0.000511769
16,2013.58,1.77747,2.50183,1.54248,0.37696,0.44868,0.35293,0.14033,1.99361,2.77618,1.7179,0.000429253,0.000429253,0.000429253
17,2151.16,1.78353,2.37754,1.56079,0.40071,0.488,0.41045,0.15949,1.92262,2.48451,1.65312,0.000346736,0.000346736,0.000346736
18,2280.86,1.75465,2.2139,1.47955,0.4796,0.46963,0.44032,0.17176,1.84031,2.43412,1.61615,0.00026422,0.00026422,0.00026422
19,2418.51,1.76385,2.2919,1.50701,0.47514,0.51272,0.44703,0.17584,1.80998,2.43586,1.58693,0.000181703,0.000181703,0.000181703
20,2552.95,1.59668,2.21438,1.47969,0.48153,0.46857,0.44038,0.1867,1.76375,2.40174,1.56952,9.91865e-05,9.91865e-05,9.91865e-05
